,INTERCEPT_COEFS
0,-0.1284204779859112
1,10.06221100309022
2,-10.156376907064569
3,-1.3447253355507034
4,-2.422665764561896
5,-0.8789878238641233
6,-2.0054672401035374
7,-1.130217526498004
8,0.34566670910179065
9,0.4169832305148657
10,0.07821061901693027
11,-2.400947765134063
12,-2.5260569135493247
13,-2.3767870182236073
14,1.446249168769502
15,-1.7172418076992653
16,-2.3922191024398716
17,-2.1458521962164747
18,-0.578660313179214
19,-0.6871537162256394
20,-3.004217263005271
21,-2.2734012613168075
22,1.7532868735907627
23,0.6259759087954779
24,-0.21523856123109308
25,1.085214998009571
26,-0.12376149128572403
27,-0.2185911333972346
28,-0.07884353022398177
29,-2.4489304231069133
30,1.2847651669681148
31,0.21205006246508962
32,-0.7720443687398137
33,-0.4246142825736756
34,0.7600551350429776
35,-0.21722677355818007
36,1.1396130888176892
37,-2.2135397919913293
38,-1.4210178107361608
39,0.5651891508120973
40,0.16443731572410786
41,2.5352622090872354
42,0.36997971812226865
43,0.007341415364780953
44,0.9980226344401185
45,2.3099677565193995
46,-0.8844894372686706
47,1.6502702078087208
48,-1.3468117769055628
49,-2.233250369779274
50,1.4827070849059325
51,0.9346791306997115
52,0.45944139390483735
53,-2.054959308666355
54,-0.7577362591108858
55,0.47411557068208793
56,0.6521165358714676
57,1.5673697871631722
58,1.5035341832750189
59,-1.5749397976220185
60,3.7502567488659153
61,1.525190391477157
62,-0.3762572226572158
63,1.7044095011351243
64,0.08859556675775188
65,-3.648625707443383
66,-1.4083260722462185
67,-1.536566598796268
68,1.5106852474681165
69,1.7499285146668553
70,-0.6739902601077649
71,-0.9823831206786056
72,1.471580056074299
73,-1.7373094305249055
74,0.9848076339903116
75,0.21699036672306157
76,-0.7637868735076812
77,-1.3550213486801426
78,2.705209183473977
79,1.0325236569726934
80,0.3494770159245228
81,0.05222153231621474
82,0.4133151046541798
83,0.9114872789920371
84,-2.9190511775536243
85,2.6129632557513456
86,0.7821880608274703
87,0.8228389768076447
88,-0.2741217826361181
89,1.7159662990525146
90,-2.809238706711805
91,-2.6357635886518147
92,1.7840064432476346
93,0.611590271808841
94,0.9675451271738297
95,0.0760429659538355
96,-0.14275998597350875
97,2.6711225859305054
98,-0.0747497382438652
99,2.0275466249453786
100,0.5742468456657971
101,2.61068205513006
102,0.8187446173438304
103,-0.21608618217633585
104,0.7246896270903682
105,1.784562015221797
106,0.37459809070981304
107,1.8604921864425013
108,0.5346123446259103
109,-0.7203376747895058
110,0.4792285353340709
111,0.0590766121455047
112,-1.0969460447031982
113,-0.5417338261282376
114,-1.214863986608483
115,-0.38074711306636216
116,0.29411034775670375
117,-0.619232376607502
118,-0.8073700583818093
119,2.114597452530258
120,1.5871508890360542
121,5.875087908918171
122,-0.8622502127013588
123,-1.1905476780084845
124,0.07474465804811488
125,-1.0927720107722472
126,0.6490631992110358
127,-2.14438660942625
128,-1.6154812448878235
129,2.392441754348626
130,-0.5667032140508558
131,0.7362400574864691
132,-1.3857137184919919
133,0.9515988895287786
134,-2.4240751901335966
135,-0.22605095081438495
136,-1.628773030413073
137,-1.8672511321623788
138,0.5699980841411559
139,-1.3440603246786897
140,0.8531828754589057
141,0.4447301902720675
142,-0.8031705051937923
143,0.7888226042469206
144,-1.5094320619682748
145,0.017256235949859786
146,0.5684955313188482
147,1.5061068191488085
148,-0.14070367121408317
149,-2.2191882985401445
150,0.3618762683734733
151,-0.04645887633020028
152,-1.6449634658084797
153,-0.40017023250075495
154,0.36332076552975795
155,-1.7050431123465934
156,-5.572708346081599
157,-1.2584888574152684
158,1.7312149932818286
159,3.3046233447666804
160,-1.076287857742055
161,0.17306970517789877
162,-0.35677996371222404
163,-1.0041355525253548
164,1.3322369916287042
165,0.3877401270013911
166,0.884118991843498
167,-1.7085961976490471
168,-1.681691491661736
169,-0.8306978707057191
170,-0.07493343288334366
171,0.23009012288875075
172,0.35254572967869025
173,-1.4214845239538294
174,-0.22657100192551038
175,2.5863557802751105
176,-5.802964344160454
177,0.8462462422211403
178,-1.321861459838468
179,0.035367209814350285
180,5.801693356302484
181,0.08656645184267724
182,-0.2761071409265955
183,-1.8436103351021598
184,-5.765364428277263
185,-2.628899995343387
186,-0.8603669942588219
187,-0.7543883603235302
188,0.36139483888482626
189,-1.9832109991405147
190,2.5266309894938024
191,-2.4426422634317277
192,-1.431861246940916
193,-2.721369452578372
194,1.3801405907118747
195,-0.3404405344203591
196,6.399598901478563
197,-2.0768324903031283
198,-7.333703925476143
199,-0.6129189307296938
200,-0.9603921513601462
201,-1.935724291519661
202,-1.0553155456146635
203,-1.3719763121566737
204,-2.434420397244363
205,-1.5543310378768596
206,-0.4722953488652247
207,1.6559004373883761
208,2.0884250396423667
209,0.6325800037857332
210,-0.350997068003308
211,0.6630071227959781
212,-3.029323965263468
213,-0.9550014323814368
214,0.6125697994709509
215,0.0026443534995820852
216,-0.3023507013864682
217,4.853193023331985
218,-0.631533471072676
219,-0.7563815883321782
220,0.4799532216822434
221,0.025468760774385375
222,0.16176053889955247
223,-0.1593433724530492
224,1.8032799552423198
225,-0.8272845254527116
226,0.9088381369744133
227,-3.0491968840015082
228,-1.5453838671983389
229,-1.338379038982667
230,2.027268778845969
231,-0.07259054595792745
232,-1.9919604854439426
233,0.25658039627238427
234,-0.17861946342524526
235,2.133038941765503
236,1.4249818674312318
237,-6.039657444600928
238,-1.0319441624485508
239,-0.40224910727471025
240,-0.19134688838020925
241,-1.0078463188554951
242,4.048330998149693
243,1.5894120197838513
244,0.015405135500629455
245,0.4380851102504521
246,-0.9107860543807199
247,-0.1907644147349424
248,0.29947883109713724
249,2.3855545901642623
250,-1.1388836302319139
251,-0.21323430040029778
252,0.33183142589407905
253,3.0754954240233148
254,0.5712313394235008
255,1.181825658007496
256,0.4002509679945776
257,-0.3444941835746867
258,-0.045876370859593944
259,-0.8359019151843272
260,-0.5333349690071542
261,-0.7812805918779228
262,-0.6543059687400928
263,-0.6887625759781474
264,-1.4655138520336048
265,-0.5567762750215294
266,0.8324107619932637
267,1.805244720698933
268,-1.3753979876034714
269,-1.7969354572396476
270,-1.2941018947252334
271,2.471822333096558
272,0.8219286376443233
273,1.8008842409437162
274,-1.0749878051025952
275,-0.3726646348812808
276,1.6740142181104112
277,0.32066128967589486
278,0.6378835051927314
279,-1.5454519555533817
280,-0.0010416755539442318
281,1.859662259722181
282,-0.43135972615063456
283,-0.0831661120750354
284,2.130792070822179
285,-2.9594736529010683
286,1.2763706396918328
287,-3.2697885234758175
288,-1.814857039586554
289,0.42225506168881083
290,0.7395226674775431
291,1.0956786858969416
292,1.984127904125035
293,0.001337879646372622
294,-0.5300528281353666
295,0.9127303302327661
296,-1.1522561502665407
297,0.33199606389323943
298,1.2569663707800476
299,1.3336715654258178
300,0.31342874195658155
301,0.26669709359595956
302,-0.5917019824907032
303,-0.5307042484732079
304,-0.3962856486004042
305,0.017427254144796067
306,-1.6342104998442808
307,2.3837370718953945
308,0.9797044482936997
309,-0.3837137050315936
310,-1.2322129264649897
311,-1.2439220491236207
312,0.5819911022742713
313,1.5363196928688905
314,1.3002344014611449
315,0.6473743668161734
316,-0.024586027865968373
317,-0.717434833927846
318,-0.8345217317836022
319,-0.8537678767894107
320,0.3139455501548149
321,-0.4665510178720667
322,0.8649211129747784
323,-0.9286722701929793
324,0.9526112809455602
325,-0.022022290880918297
326,1.8631557981932694
327,0.7220207203355923
328,-1.2950488825065656
329,0.3012309434073136
330,-0.5782755326887529
331,-1.9819003602017684
332,-1.5129685150306171
333,-1.3371465615099398
334,0.4516279933756734
335,0.6934021915819553
336,-1.6383029305734527
337,-0.5927755779501399
338,-1.536980163541432
339,-1.2307154579174011
340,0.7917035609479292
341,-0.631981678174758
342,0.2612741770193287
343,0.07264987515014687
344,-1.1971247397920872
345,-0.11265095515208812
346,-0.08830769313403025
347,-1.0648580248431991
348,-0.7058751232375479
349,1.1238204496965036
350,-1.1471357175948158
351,2.56121072105784
352,-0.001176334160105638
353,-1.6009748136065411
354,0.8476210907027497
355,-0.16567607855356864
356,-1.2809991263878773
357,-3.171787127852035
358,-0.9294903348924356
359,0.10654432506168915
360,1.9218622905527436
361,0.26465869334593267
362,-0.40979723995840617
363,-0.5892455580787984
364,-0.4378987981208707
365,-0.5626222612210529
366,-2.1579023790393856
367,0.4004636564506626
368,-0.45917747875581943
369,-0.20247368108054078
370,1.184045956824216
371,0.11432030662364874
372,0.7548406926580076
373,-0.40609428717248003
374,0.39516177435913435
375,-2.7355564855111303
376,-1.9782853155601803
377,-1.2158928564722034
378,-1.477571372505368
379,0.23363991063974726
380,-2.267691470966783
381,-2.0900129161743766
382,1.6699673712001468
383,-1.2164645150290077
384,0.28986855923720434
385,0.7644527683768111
386,-1.1169703292780455
387,2.1701251810938027
388,-0.5683981023671609
389,0.28052473501300795
390,0.03742776884427878
391,-0.882775362111723
392,-0.021896667873552024
393,-1.5945103096858944
394,-1.0860303509922276
395,-2.0382794695258006
396,0.736279760651944
397,-0.7869642153343024
398,-0.8097414593541742
399,-2.3067744099746514
400,2.00148660976388
401,-1.8493997044773909
402,-0.1532842641721347
403,-0.3524105207856436
404,0.2999576853977997
405,0.32482648851787876
406,-0.8627588998263024
407,0.7409075818697913
408,1.6659738481585984
409,-0.818511024678221
410,-0.11260471250438177
411,1.367985221115027
412,2.1361010383212653
413,-0.05922562038563753
414,-0.1293907421057575
415,-1.0962275247351059
416,0.5603190074426379
417,-0.8299566867397562
418,-0.1856984267865397
419,-0.5932373935867346
420,-1.526282207598363
421,-0.7105667173288421
422,2.043160483440572
423,-0.8096130018948986
424,-3.0648009586127154
425,1.4726053652519115
426,-2.038212801784298
427,-0.38370048476351115
428,0.8722823373580143
429,-1.6702478326947428
430,0.7644397989857215
431,3.409545438574953
432,0.26370037858634277
433,-0.23877694613988545
434,0.4466014151037283
435,0.4945427608498047
436,0.14457044502331418
437,-0.3191110370347328
438,-0.8675116469563686
439,1.2000853324445466
440,-2.563313645503953
441,0.5382617486450029
442,-0.07916663397804935
443,-1.1664474606385749
444,-2.2651898955148604
445,-0.2956565757711781
446,1.5794559022754293
447,-1.1455223244386448
448,-0.10267251184742544
449,-1.1845984553461966
450,0.4641203019685966
451,-0.8128517310859816
452,-1.3409406964289372
453,-0.6965070651420006
454,-0.06293320244671262
455,-0.7126500314895817
456,-1.0834546610647182
457,-0.44492006211893265
458,-0.21887525843956732
459,-1.9234281626406866
460,-0.06176558115801021
461,0.7247582116006671
462,1.3594926970847359
463,1.2031584628190708
464,-0.8746715259075502
465,-2.314338464141554
466,6.193052347087406
467,-1.8350863988461896
468,1.4346303780716054
469,1.5998444778231615
470,-0.8817770108937746
471,-0.6392704473152909
472,-0.45448107087175305
473,-1.3521318483565616
474,-1.5803085049913939
475,-0.8644673399368289
476,1.007553292438599
477,-0.6203310374196193
478,-1.267412328757373
479,-1.5598972722064002
480,-1.4941158851574252
481,-0.316798315215285
482,-1.216988003504102
483,-1.0428026055490793
484,-0.691977616730689
485,-0.3693484009072655
486,5.676745986369665
487,1.673043939649631
488,0.10342214207429912
489,-0.5875253803914916
490,1.5612685673558893
491,-1.0165850017508826
492,-0.2380018429855262
493,0.23231180350386094
494,5.401698665477016
495,1.1228234499962326
496,-2.2228919128173734
497,-2.3267112506529104
498,2.3443248313138816
499,-0.24770113742943448
500,7.126851623232975
501,-0.23336666409893814
502,-0.4787919334317975
503,-2.496012412496764
504,-1.091678704226561
505,-1.1810135697960018
506,3.0562685790095285
507,1.0636226108759759
508,5.360235125211883
509,-0.7653349661320068
510,-0.747538476753013
511,-0.69550426892107
512,0.5335194356121884
513,-1.3247170217505944
514,-1.5007122574481377
515,-2.1614914194185437
516,0.30932064268812776
517,0.725208873862303
518,0.3309114352774142
519,-1.0284642719480426
520,0.9414970595636788
521,0.12383932239400403
522,-1.5987543467660257
523,1.0901847886909908
524,-0.026602145336465467
525,-0.00955767655722929
526,-1.9341292924191062
527,2.4212913695449316
528,-1.0997402471227349
529,-0.9899130609778894
530,0.19289667746414588
531,-0.42026600184261115
532,-0.8988470412780002
533,0.24067876017803264
534,-0.3645061226473231
535,-0.9024237765597161
536,-0.2503650776333268
537,-1.017866048935712
538,-1.6359855415482982
539,0.016228254039818344
540,1.7853807711350018
541,-0.14057910517994351
542,0.7742355429604499
543,-0.768274139276981
544,-0.9212421668055553
545,0.7211197495606296
546,3.562335206729339
547,5.801272728845591
548,-0.037487311484427216
549,-0.5266855930470175
550,0.19258365313455927
551,1.9548650984758646
552,2.9539239646418247
553,-0.7005384396478268
554,-0.2683594877747386
555,1.5213380332188633
556,0.661099692014066
557,-2.1791927302178378
558,-0.39989764132119393
559,0.9605764582957994
560,2.4100951340433054
561,-0.1808402224641045
562,-0.7498768441498037
563,-0.49408412553303915
564,3.1242383479009055
565,-1.6534285700914477
566,-1.275930566481333
567,-0.38561147505709753
568,-1.3483812791814747
569,-0.08246344577059639
570,0.22197250941800223
571,0.07761782074031735
572,0.9470935997572597
573,0.008398768499677243
574,0.7725784091683603
575,1.6566769444031049
576,-2.2750719509765274
577,-1.9610999469217645
578,0.13064847744299912
579,-1.040409801769837
580,0.9947539262996171
581,0.010148509209614258
582,-1.7674835251163004
583,0.10077805199735658
584,-2.537408432895432
585,2.030348890885342
586,0.028287091686603285
587,-1.352483200318874
588,0.3337527700143936
589,0.187962688750939
590,0.2084611441714269
591,2.1134108541955094
592,2.1370881795688246
593,0.27219389948402184
594,0.1751340191097947
595,0.3088219597828803
596,-1.8021523537058863
597,-1.597328324849824
598,0.41474611670053335
599,-0.9988119263915417
600,0.4779358784650706
601,4.484085935403566
602,6.173941905040702
603,-0.796090056719807
604,1.4905918481173612
605,-1.3894441693090593
606,-0.23256926764911776
607,2.880346248752176
608,0.6841946223702794
609,-0.4817612941821202
610,1.1831899984333962
611,3.562743785781708
612,-0.03549203918721979
613,1.9201133590003043
614,-1.1282122265022552
615,0.007150725171654034
616,-0.6620438043355086
617,1.0806399886271452
618,0.1304952493689472
619,-0.5652329627161449
620,-0.8089619178453049
621,-0.8102707704152129
622,0.6157285935489919
623,-1.1750028077798653
624,-0.11911018731198246
625,-0.38496063179655915
626,-0.1427123652872797
627,-2.93761679394316
628,-0.22877783926535705
629,1.2916607658392747
630,0.43761573126866793
631,0.16765912526655138
632,-0.49204335938336236
633,-1.2592127425848347
634,0.19833761276532214
635,-0.7649020046481466
636,-0.28353643667853795
637,0.11926210313532751
638,0.046474287802612736
639,1.1103365299634298
640,0.08092736161084045
641,-0.449271094396383
642,-0.4382639691164529
643,0.377758133869368
644,0.47556786962272407
645,-1.1243927626386088
646,0.3021780104743945
647,-2.925223271450826
648,-2.0137968909989405
649,-1.8366028730900434
650,-1.4752888494405076
651,-0.8455229959564207
652,-0.785781492482098
653,-0.727442172472302
654,-1.2088590086644722
655,-1.5807945829992711
656,-1.4945993479733763
657,-1.3071262064772908
658,-1.0721799912397594
659,-0.42273270921726136
660,0.2626547137675707
661,0.779356304931133
662,0.7358424853769563
663,0.7611073428007581
664,0.725198313948329
665,1.1172657461392508
666,0.48466857408860975
667,-2.104809867487017
668,-1.6637809695097798
669,0.27827630717588137
670,0.2703189828367351
671,-0.49979418347551524
672,-4.448629467481646
673,-3.9551380876776228
674,-2.550163278436696
675,-1.925415073896338
676,-1.0162931007497977
677,-0.9061761793739991
678,-0.12153708112958789
679,0.13200344535686465
680,0.08033639880350894
681,0.4813913505570069
682,0.7018166683595274
683,0.4925022479253733
684,0.7210397218399942
685,0.985411742081322
686,1.0941737129896016
687,0.8573306793059349
688,0.01679888752251479
689,-0.12739352586950875
690,0.4089850102510695
691,-0.8930260198586778
692,-2.991579426925106
693,0.2180994168667647
694,-3.475527391560105
695,-1.30339307784604
696,0.7931631118011854
697,0.24933476758541626
698,0.5825379164881367
699,-0.910747827759173
700,-3.7922069040429927
701,-1.6287826681509503
702,0.3533824433192021
